name,platform,release_date,summary,metascore,userscore
10 Minutes Till Dawn,PC,"May 11, 2022",Shoot down an ever growing horde of Lovecraftian monsters. Choose from a variety of upgrades to create unique and game-breaking builds. Unlock a diverse cast of characters and weapons with unique powers.,tbd,tbd
1001 Jigsaw. Cute Cats 3,PC,"January 19, 2023","Cute and clumsy cats on guard of your good mood! ""1001 Jigsaw. Cute Cats 3"" are ready to help you gain positive emotions!

This is an easy to control game, where you can use hints to pass the level, take a short break, while saving the result, or choose a suitable level of difficulty, if the puzzle is not amenable to the first time. The game is thoroughly detailed, so it is suitable for all types of players.

We'll be waiting for you in the world of amazing and charming seals!",tbd,tbd
15 puzzle,PC,"December 4, 2020","A classic game of puzzle 8 (3x3), 15 (4x4), 24 (5x5) or 35 (6x6) in which player has to move pieces on board so they are from 1 to 8, 15, 24 or 35. Positions of pieces are generated randomly, but every generated game has a solution.",tbd,tbd
2030,PC,"February 21, 2022","It's 2030 AC. Beings from planet Venus are back from a long journey around the universe. In the past they planted us on earth, now are back and see what we did to our planet and their species. 

They declare WAR to humans. Have invaded the human colonies on Moon, unleashing a deadly virus through mysterious high tech machine with a long range beam that teletransport dead people everywhere with thirst of living flesh...

Use military weapons with autocombust ammo, make body parts fly (very satisfying), clear the area from deadly hordes, 3 maps to play multiplayer or solo: JunkYard, Secret Base and Moon Colony.

Be the server and drive on the moon surface with your friends on the top shooting all the place, destroy the big worm and the alien machine, more & more unique multiplayer fun!",tbd,tbd
3-D Ultra Pinball: Creep Night,PC,"September 23, 1996","Once every 100 years a vortex to the underworld opens and chaos reigns as ghosts, gremlins and gargoyles wreak havoc in a haunted castle. Only furious flipper-action and lightning-quick bank shots can vanquish the ghouls as you warp between the castle courtyard, mad scientist's lab, and dungeon catacombs.
If you're good enough to uncover the bonus table, you'll face the Goblin King in a ghoulish grand finale where your speedy reflexes will seal the vortex and send the nasty creatures packing - until the next time.",tbd,5.6
3rd Space Incursion,PC,"November 21, 2007","This game comes bundled with the 3rd Space FPS Vest, a force-feedback vest,  and a 3rd Space-enabled version of Call of Duty II.",tbd,5.0
4Steps,iOS,"September 13, 2010","Special introductory price of $0.99 for a limited time only!

How do you spend your time when you are bored?
How do you kill time when you are waiting for
a bus, a subway, or someone?
'4Steps' was created for you to play in times like these.

'4Steps' is a brain-training game using combinations of images. Now you can enjoy the game and train your brain at the same time with '4Steps'. Enjoy training yourself by solving three different types of puzzles and 45 levels in total.

If you become confident with the puzzles, try the timed challenge mode. As you solve the questions, your imagination and agility will improve.

Intuitive icons and graphics make it easy to play without any explanation. It is so easy and simple that almost anyone can play it immediately.

Just give it a try!


• FEATURES

- High Resolution images for iPhone 4 Retina display
- iOS 4 Multitasking Support
- Level mode : 3 types puzzles, 45 levels in total
- Timed mode : solve as many questions as possible in 60 seconds
- 1800 hand-drawn illustrations
- Openfeint compatible
- 40 different achievements
- Intuitive interface and icons


Like our game? Please rate it or review it in App store",tbd,tbd
69 Andariel Hot,PC,"July 18, 2022","Puzzle with visual novel elements in fantasy style. Dear elf Andariel is waiting for you in the ""House of Flowers"". Play a game with her and in case of victory she will fulfill your cherished desires.",tbd,tbd
8-Bit Hordes,PC,"August 12, 2016","From the team that brought you 8-Bit Armies comes a new fantasy RTS as fast-paced and friendly as the original! 8-BIT HORDES is a colorful strategy-arcade game that is easy to learn for players of all skill levels. Collect resources, build up and defend your base, amass your army of orcs or humans and ultimately crush your opponents! 8-Bit Hordes features offline single-player missions, two-player cooperative missions, AI skirmish mode, and Player-vs-Player Multiplayer modes running on dedicated game servers.",tbd,7.5
9 Clues 2: The Ward,Switch,"September 30, 2022","After responding to a distress call from a secluded psychiatric hospital, a young detective and her partner find themselves struggling to solve a murder. As they press the patients and hospital staff they find that there are dark truths being kept from them. Each new clue only raises more questions. Who killed Doctor Crow? What drove one of the male nurses insane? Who is Zed Rascov? Why is the name of a little girl, Ginger, carved into the wood-paneled wall of the dead doctor's office? Can you unravel the mystery? Find out in 9 Clues: The Ward!",tbd,tbd
