name,platform,release_date,summary,metascore,userscore
007 Racing,PlayStation,"November 20, 2000","Pay attention, 007. This is for your eyes only. Q-Branch has re-engineered some of your favorite automobiles with additional gadgets and firepower. You'll need everything they've got, plus your own uncanny ability to beat the odds. The free world is depending on you. Oh, and one other thing before you go, 007 - try to bring them back in one piece.",51,5.0
007: The World is not Enough,PlayStation,"November 6, 2000","Experience the intensity of being the world's top secret agent. Equipped with a full arsenal of Q-Lab gadgets and weaponry, you must be suave and resourceful as you carry out action-packed missions based on the blockbuster movie.",61,6.8
2002 FIFA World Cup,PlayStation,"April 30, 2002","Kick off the FIFA World Cup season with 2002 FIFA World Cup, which captures every moment of glory, every emotion, and every sound of the global event. The game boasts licenses from the official FIFA World Cup, insignia, mascots, and the 20 new World Cup stadiums in Japan and Korea. Another enhancement includes Air Play, a new control scheme that delivers intuitive one-button headers, volleys, scissors kicks, juggling, and more. Choose your team and then compete in a seven-game series beginning with round-robin play, followed by playoffs that lead to the final match. ",tbd,4.6
ATV: Quad Power Racing,PlayStation,"August 23, 2000","Hit the dirt with the only quad racing game available! Power slide, roll over, crash and take on the competition in rough terrain with ATV: Quad Power Racing!",42,4.5
Ace Combat 2,PlayStation,"July 31, 1997","We've devised a weapon that's deadlier than a smart bomb. It's called a smart pilot. Now, Ace Combat 2 pits you against a whole squadron of them - 3-D polygonal jet jocks that maneuver like the real deal, turning every scorching sortie and dogfight into a kill-or-be-killed situation. With nearly double the missions of its predecessor, you'll double your chances of taking out the enemy. (Or taking a heat-seeker up the exhaust.)",83,8.6
Action Bass,PlayStation,"July 14, 2000","Do you have what it takes to get the biggest bass in the pond on your hook? Do you know the right lures to use in ever changing water conditions? Can you battle the bass and lure im in? Or will he break the line and be the one that got away???? If you think your up to the callenge,
THEN GET READY FOR ACTION BASS!",51,tbd
Alien Resurrection,PlayStation,"October 10, 2000","Ellen Ripley died trying to wipe out the Aliens. Now, 200 years later, scientists have resurrected Ripley - along with the Alien Queen - hoping to create the ultimate weapon. Teamed with a crew of renegade space pirates on a research vessel headed for Earth, they must fight for survival and destroy the Aliens once and for all.",61,7.5
Alone in the Dark: The New Nightmare,PlayStation,"June 18, 2001","From the moment Edward Carnby and Aline Cedrac set foot on Shadow Island, they are confronted by mysterious, evil creatures intent on thwarting their progress to recover 3 ancient tablets believed to hold the secret key to some incredible menacing phenomenon. Fears threaten from every corner. The slightest shadow could be hiding deep secrets, or concealing worse nightmares...",77,8.3
Alundra,PlayStation,"December 31, 1997","Plagued by strange visions, the Dreamwalker Alundra is summoned to a troubled village where great evil lies in wait. Explore huge dungeons, find deadly weapons, solve challenging puzzles and fight the cast of foul creatures out to stop you in your tracks. This vast, enthralling adventure will keep you wide awake to the very end. ",86,8.6
Animorphs: Shattered Reality,PlayStation,"September 6, 2000","If there's a silver lining to Animorphs: Shattered Reality, it's that it would make an excellent game for children who aren't yet old enough to tackle the meatier fare of ""real"" video games.",27,tbd
