name,platform,release_date,summary,metascore,userscore
.hack//G.U. vol. 1//Rebirth,PlayStation 2,"October 24, 2006","Years after the events of the first .hack installment, the most popular MMORPG in the world has returned from the ashes as ""The World: R2"". As Haseo the Terror of Death, players are thrown into his quest for revenge in his search for the mysterious PK (Player Killer) Tri-Edge. This time, players will interact in the real and virtual worlds with fellow ""The World"" players through various chats, mails, and fully voiced video news clips. Together with Haseo’s virtual partners, login to challenge and solve the mysteries of ""The World"". [Namco Bandai]",69,8.0
.hack//G.U. vol. 2//Reminisce,PlayStation 2,"May 8, 2007","Taking place after  "".hack//G.U. Vol. 1: Rebirth,"" .hack//G.U. Vol. 2: Reminisce has players returning to the fictitious Massive Multiplayer Online (MMO) setting called ""The World"" to continue Haseo's journey as he and his friends look to escape from what has become a digital trap. After the massive battle with Tri-Edge at the conclusion of ""Rebirth"" Haseo and friends learn they are incapable of logging out of ""The World"". As the life of one of their own hangs in the balance, Haseo’s party begins a race against time to purge game servers of corrupted data. Players will enjoy a fully upgraded battle system including new fighting styles and in-depth party and steam bike customization. Unique to Reminisce, a new mini card game called Crimson VS provides players with the opportunity to collect cards, compile the ultimate deck and compete against others in Crimson VS tournaments throughout ""The World."" [Namco Bandai Games]",61,8.3
.hack//G.U. vol. 3//Redemption,PlayStation 2,"September 10, 2007","Continuing where the second installment left off, in .hack//G.U. Vol. 3: Redemption Haseo discovers that old enemies have returned and some friends have turned against him. And with the mysterious evil that once lurked only within the confines of the MMO now causing havoc in the real world, Haseo and his friends must overcome impending doom and restore balance to both realities. In .hack//G.U. Vol. 3: Redemption, players can utilize an enhanced battle system in which both Haseo and his Avatar Skeith will evolve into new forms to utilize more powerful attacks. Haseo can also obtain a new Awakening mode to deliver extreme damage to enemies.  Having so much more power isn’t fun if you can’t share it! Players can now choose from 22 unique characters to join Haseo's party, explore two new towns, and conquer two new dungeons.  With new enemies, more steam bike parts and steam bike missions, new cards for the popular Crimson VS card battle game, and the final tier of the Arena Battles, players won’t want to log out of .hack//G.U. Vol. 3: Redemption. [Namco Bandai Games]",60,8.7
.hack//Infection Part 1,PlayStation 2,"February 10, 2003","A fourteen year old boy named Kite is invited by his schoolmate, Orca, to play the online game The World. While playing the game both Kite and his friend are attacked by an unknown monster. As a result, Orca becomes comatose in the real world. Despite his friend's condition, Kite continues to play The World believing he'll find a way to revive Orca. While playing, Kite accepts Book of Twilight from a mysterious girl in white. Kite is transformed into an outlaw player within the game wielding the very same power responsible for Orca's condition. [Bandai]",75,8.3
.hack//Mutation Part 2,PlayStation 2,"May 6, 2003","In part 2 of this episodic, 4-part double-disc masterpiece, your remarkable party members meet up with the characters from .hack//SIGN television series, to support you through your painstaking journey to the truth. What is the developer of ""The World"" hiding? Kite continues his quest, armed with the forbidden abilities of Data Drain and Gate Hacking. Will he be able to save Orca and the other coma victims...? [Bandai]",76,8.5
.hack//Outbreak Part 3,PlayStation 2,"September 9, 2003","In the 3rd chapter of the .hack saga, ""The World"" continues to deteriorate as the virus spreads out of control. As the outlaw player, Kite, you must choose your strategy wisely. Not only is the OUTBREAK affecting ""The World"" in the game, but now repercussions are being felt in the real world too. Is there a way to stop this outbreak? Where does the answer to the mystery lie? Fight through contaminated cyberspace as you take on and eliminate enemies, and unlock codes to gate hack to even more environments. Will you ever find out who or what is behind this nightmare and wake Orca from his coma? [Bandai]",70,8.2
.hack//Quarantine Part 4,PlayStation 2,"January 14, 2004","The Final Stand... In this, the final episode in the .hack saga, play as the outlaw player Kite to finally unravel the mystery behind ""The World"". And this time it?s against the clock... As events in ""The World"" continue to create havoc in the real world, CC Corp faces increasing pressure to move the game servers offline game servers offline, meaning certain death for all comatose victims. It?s up to you now. Can you cure this virus and restore order in ""The World?"" And can you do it before time runs out for your friend, Orca? [Bandai]",70,8.2
007 Racing,PlayStation,"November 20, 2000","Pay attention, 007. This is for your eyes only. Q-Branch has re-engineered some of your favorite automobiles with additional gadgets and firepower. You'll need everything they've got, plus your own uncanny ability to beat the odds. The free world is depending on you. Oh, and one other thing before you go, 007 - try to bring them back in one piece.",51,5.0
007: The World is not Enough,PlayStation,"November 6, 2000","Experience the intensity of being the world's top secret agent. Equipped with a full arsenal of Q-Lab gadgets and weaponry, you must be suave and resourceful as you carry out action-packed missions based on the blockbuster movie.",61,6.8
18 Wheeler: American Pro Trucker,PlayStation 2,"November 14, 2001","Get behind the wheel of a 60 foot long, 20 ton, 18-wheeled beast and buckle up as you haul tail from New York to California and everywhere in between.  The PS2 version supports the Driving Force Racing Wheel, the Logitech steering wheel employed with with ""Gran Turismo 3."" ",61,5.4
187 Ride or Die,PlayStation 2,"August 23, 2005","187 Ride or Die is an urban-themed combat racing game that plunges players into a brutal street-racing gang war where victory depends on ruthless driving and deadly shooting skills. THe game features the voices and likenesses of Larenz Tate (""Menace II Society""), Noel Gugliemi (""Training Day,"" ""The Fast and the Furious""), and Guerilla Black. 187 Ride or Die tells the story of a reluctant urban hero named Buck (L. Tate), a young man living a thug's life seething with money, fast cars and beautiful women -- with danger lurking around every corner. Set in the underworld of Los Angeles, Buck must defend the territory of his mentor Dupree (G. Black) from a menacing nemesis and his gang of bandit roughriders, led by Cortez (N. Gugliemi), who are determined to take control of the streets. The game features Adrenaline-Pumping Combat-Racing Action: Put your pedal to the metal as you literally blow your opponent away in non-stop, intense and unique combat-racing action intensified with replay and slow-motion camera effects, and spectacular blur and filter effects. Select from a number of unique vehicles ranging from vintage roadsters to modern muscle cars in your quest to rule the streets. Strapped to the Nines: Put your hand on the pump and take out the opposition with numerous weapons, including an array of pistols, shotguns, and much more. [Ubisoft]",52,6.6
2002 FIFA World Cup,PlayStation,"April 30, 2002","Kick off the FIFA World Cup season with 2002 FIFA World Cup, which captures every moment of glory, every emotion, and every sound of the global event. The game boasts licenses from the official FIFA World Cup, insignia, mascots, and the 20 new World Cup stadiums in Japan and Korea. Another enhancement includes Air Play, a new control scheme that delivers intuitive one-button headers, volleys, scissors kicks, juggling, and more. Choose your team and then compete in a seven-game series beginning with round-robin play, followed by playoffs that lead to the final match. ",tbd,4.6
2002 FIFA World Cup,PlayStation 2,"April 22, 2002","The official soccer game of the 2002 Korea/Japan World Cup features new ""Air Play"" gameplay with intuitive one-button headers, volleys, scissor kicks, juggling and showboating. New player-to-player animations allow for agressive jostling for the ball on the ground and in the air. The Tournament Mode features a seven game series beginning with round-robin play, followed by playoffs leading to the final match with a progressive story line and a rising intensity as you advance. [EA Sports]",73,5.6
